,district,name,538_democrat_wins,538_diff_from_even,cook_name,cook_pvi_rating,cook_category
241,NC-09,Open seat,50.35,0.3500000000000014,Open seat,-7.0,TOSS_UP_REPUBLICAN
367,TX-07,John Culberson,49.32,0.6799999999999997,John Culberson,-7.0,TOSS_UP_REPUBLICAN
309,OH-12,Troy Balderson,48.95,1.0499999999999972,Troy Balderson,-7.0,LEAN_REPUBLICAN
405,VA-05,Open seat,48.78,1.2199999999999989,Open seat,-6.0,LEAN_REPUBLICAN
289,NY-19,John Faso,52.13,2.1300000000000026,John Faso,-2.0,TOSS_UP_REPUBLICAN
172,KY-06,Andy Barr,47.3,2.700000000000003,Andy Barr,-9.0,TOSS_UP_REPUBLICAN
212,MN-01,Open seat,45.34,4.659999999999997,Open seat,-5.0,TOSS_UP_DEMOCRATIC
420,WA-08,Open seat,44.36,5.640000000000001,Open seat,0.0,TOSS_UP_REPUBLICAN
254,NJ-03,Tom MacArthur,43.91,6.090000000000003,Tom MacArthur,-2.0,TOSS_UP_REPUBLICAN
205,MI-08,Mike Bishop,42.62,7.380000000000003,Mike Bishop,-4.0,TOSS_UP_REPUBLICAN
65,CA-45,Mimi Walters,58.04,8.04,Mimi Walters,-3.0,TOSS_UP_REPUBLICAN
248,NE-02,Don Bacon,58.2,8.200000000000003,Don Bacon,-4.0,LEAN_REPUBLICAN
298,OH-01,Steve Chabot,58.23,8.229999999999997,Steve Chabot,-5.0,LEAN_REPUBLICAN
197,ME-02,Bruce Poliquin,40.79,9.21,Bruce Poliquin,-2.0,TOSS_UP_REPUBLICAN
76,CO-03,Scott Tipton,40.54,9.46,Scott Tipton,-6.0,LIKELY_REPUBLICAN
164,KS-02,Open seat,39.0,11.0,Open seat,-10.0,TOSS_UP_REPUBLICAN
147,IL-12,Mike Bost,38.37,11.630000000000003,Mike Bost,-5.0,TOSS_UP_REPUBLICAN
204,MI-07,Tim Walberg,38.06,11.939999999999998,Tim Walberg,-7.0,LIKELY_REPUBLICAN
112,FL-26,Carlos Curbelo,37.89,12.11,Carlos Curbelo,6.0,LEAN_REPUBLICAN
245,NC-13,Ted Budd,37.21,12.79,Ted Budd,-6.0,LEAN_REPUBLICAN
258,NJ-07,Leonard Lance,63.22,13.219999999999999,Leonard Lance,-3.0,TOSS_UP_REPUBLICAN
294,NY-24,John Katko,36.66,13.340000000000003,John Katko,3.0,LIKELY_REPUBLICAN
149,IL-14,Randy Hultgren,35.98,14.020000000000003,Randy Hultgren,-5.0,LEAN_REPUBLICAN
41,CA-21,David Valadao,64.34,14.340000000000003,David Valadao,5.0,LIKELY_REPUBLICAN
219,MN-08,Open seat,35.44,14.560000000000002,Open seat,-4.0,TOSS_UP_DEMOCRATIC
79,CO-06,Mike Coffman,64.57,14.569999999999993,Mike Coffman,2.0,TOSS_UP_REPUBLICAN
208,MI-11,Open seat,65.19,15.189999999999998,Open seat,-4.0,TOSS_UP_REPUBLICAN
59,CA-39,Open seat,34.57,15.43,Open seat,0.0,TOSS_UP_REPUBLICAN
214,MN-03,Erik Paulsen,65.79,15.790000000000006,Erik Paulsen,1.0,TOSS_UP_REPUBLICAN
68,CA-48,Dana Rohrabacher,66.27,16.269999999999996,Dana Rohrabacher,-4.0,TOSS_UP_REPUBLICAN
269,NV-03,Open seat,66.86,16.86,Open seat,-2.0,LEAN_DEMOCRATIC
132,IA-03,David Young,66.97,16.97,David Young,-1.0,TOSS_UP_REPUBLICAN
148,IL-13,Rodney Davis,32.5,17.5,Rodney Davis,-3.0,LEAN_REPUBLICAN
407,VA-07,Dave Brat,32.08,17.92,David Brat,-6.0,TOSS_UP_REPUBLICAN
120,GA-07,Rob Woodall,29.4,20.6,Rob Woodall,-9.0,LIKELY_REPUBLICAN
30,CA-10,Jeff Denham,70.77,20.769999999999996,Jeff Denham,0.0,TOSS_UP_REPUBLICAN
428,WI-06,Glenn Grothman,29.23,20.77,Glenn Grothman,-8.0,LIKELY_REPUBLICAN
292,NY-22,Claudia Tenney,71.17,21.17,Claudia Tenney,-6.0,TOSS_UP_REPUBLICAN
111,FL-25,Mario Diaz-Balart,28.18,21.82,Mario Diaz-Balart,-4.0,LIKELY_REPUBLICAN
92,FL-06,Open seat,28.17,21.83,Open seat,-7.0,LIKELY_REPUBLICAN
417,WA-05,Cathy McMorris Rodgers,28.14,21.86,Cathy McMorris Rodgers,-8.0,LEAN_REPUBLICAN
262,NJ-11,Open seat,72.34,22.340000000000003,Open seat,-3.0,LEAN_DEMOCRATIC
383,TX-23,Will Hurd,72.36,22.36,Will Hurd,-1.0,LEAN_REPUBLICAN
101,FL-15,Open seat,27.57,22.43,Open seat,-6.0,LEAN_REPUBLICAN
334,PA-11,Lloyd Smucker,27.28,22.72,Lloyd Smucker,-14.0,SOLID_REPUBLICAN
130,IA-01,Rod Blum,72.87,22.870000000000005,Rod Blum,1.0,TOSS_UP_REPUBLICAN
141,IL-06,Peter J. Roskam,25.34,24.66,Peter Roskam,-2.0,TOSS_UP_REPUBLICAN
410,VA-10,Barbara Comstock,74.71,24.709999999999994,Barbara Comstock,1.0,LEAN_DEMOCRATIC
69,CA-49,Open seat,74.91,24.909999999999997,Open seat,-1.0,LEAN_DEMOCRATIC
250,NH-01,Open seat,75.26,25.260000000000005,Open seat,-2.0,LEAN_DEMOCRATIC
297,NY-27,Open seat,24.5,25.5,Chris Collins,-11.0,LIKELY_REPUBLICAN
281,NY-11,Daniel Donovan,24.32,25.68,Daniel Donovan,-3.0,LIKELY_REPUBLICAN
