state,district,name,party,q2_raised,self_fund,self_loan,spent,raised_ctd,coh,self_fund_ctd,transfer,candidate_id,committee_id,incumbant,party_ind,party_dem,party_rep
AK,AL,Alyse Galvin,(I/D),242,4,0,179,517,267,14,0,H8AK00140,C00665711,FALSE,TRUE,TRUE,FALSE
AK,AL,Don Young,(R-inc),177,0,0,170,768,470,0,0,H6AK00045,C00012229,TRUE,FALSE,FALSE,TRUE
AL,02,Martha Roby,(R-inc),1010,0,0,1100,2101,731,0,31,H0AL02087,C00462143,TRUE,FALSE,FALSE,TRUE
AL,02,Bobby Bright,(R),62,0,0,229,97,163,0,0,H8AL02213,C00669580,FALSE,FALSE,FALSE,TRUE
AL,03,Mallory Hagan,(D),74,0,0,125,178,24,0,0,H8AL03054,C00668574,FALSE,FALSE,TRUE,FALSE
AL,03,Mike Rogers,(R-inc),159,0,0,79,960,1023,0,0,H2AL03032,C00367862,TRUE,FALSE,FALSE,TRUE
AL,05,Peter Joffrion,(D),114,0,0,84,306,102,0,0,H8AL05190,C00647677,FALSE,FALSE,TRUE,FALSE
AL,05,Mo Brooks,(R-inc),54,0,0,143,1240,601,0,0,H0AL05163,C00464149,TRUE,FALSE,FALSE,TRUE
AR,02,Clarke Tucker,(D),471,0,0,530,975,386,0,0,H8AR02159,C00671156,FALSE,FALSE,TRUE,FALSE
AR,02,French Hill,(R-inc),655,0,0,544,1956,1645,0,0,H4AR02141,C00551275,TRUE,FALSE,FALSE,TRUE
AZ,01,Tom O'Halleran,(D-inc),397,0,0,154,1735,1125,0,3,H6AZ01199,C00582890,TRUE,FALSE,TRUE,FALSE
AZ,01,Wendy Rogers,(R),175,0,0,95,415,281,1,0,H2AZ09035,C00510958,FALSE,FALSE,FALSE,TRUE
AZ,01,Tiffany Shedd,(R),97,5,9,117,272,245,20,0,H8AZ01237,C00657155,FALSE,FALSE,FALSE,TRUE
AZ,01,Steve Smith,(R),85,0,0,71,392,259,0,0,H8AZ01229,C00641431,FALSE,FALSE,FALSE,TRUE
AZ,02,Ann Kirkpatrick,(D),475,0,0,458,1682,837,3,34,H8AZ02151,C00651042,FALSE,FALSE,TRUE,FALSE
AZ,02,Matt Heinz,(D),100,4,100,140,478,494,25,0,H8AZ02136,C00647727,FALSE,FALSE,TRUE,FALSE
AZ,02,Mary Matiella,(D),38,8,0,40,233,67,14,0,H8AZ02144,C00648014,FALSE,FALSE,TRUE,FALSE
AZ,02,Lea Peterson,(R),185,0,20,124,676,509,0,0,H8AZ02185,C00663054,FALSE,FALSE,FALSE,TRUE
AZ,06,Heather Ross,(D),123,0,0,118,346,78,7,0,H8AZ06095,C00651752,FALSE,FALSE,TRUE,FALSE
AZ,06,David Schweikert,(R-inc),319,0,0,149,1019,538,0,18,H4AZ06045,C00540617,TRUE,FALSE,FALSE,TRUE
AZ,07,Ruben Gallego,(D-inc),176,0,0,103,799,734,0,0,H4AZ07043,C00558627,TRUE,FALSE,TRUE,FALSE
AZ,07,Catherine Miranda,(D),NA,NA,NA,NA,NA,NA,NA,NA,H8AZ07044,C00664490,FALSE,FALSE,TRUE,FALSE
AZ,08,Hiral Tipirneni,(D),263,0,0,74,287,300,0,0,H8AZ08083,C00649897,FALSE,FALSE,TRUE,FALSE
AZ,08,Debbie Lesko,(R-inc),124,0,0,56,134,157,0,0,H8AZ08158,C00663914,TRUE,FALSE,FALSE,TRUE
AZ,09,Greg Stanton,(D),466,0,0,178,1515,1165,0,1,H8AZ09040,C00657304,FALSE,FALSE,TRUE,FALSE
AZ,09,Steve Ferrara,(R),219,1,65,77,907,735,12,0,H8AZ09024,C00640268,FALSE,FALSE,FALSE,TRUE
CA,01,Audrey Denney,(D),213,0,9,161,323,140,0,0,H8CA01257,C00664409,FALSE,FALSE,TRUE,FALSE
CA,01,Doug LaMalfa,(R-inc),163,0,0,33,589,414,0,0,H2CA02142,C00509422,TRUE,FALSE,FALSE,TRUE
CA,04,Jessica Morse,(D),543,0,0,722,1420,536,0,2,H8CA04210,C00650408,FALSE,FALSE,TRUE,FALSE
CA,04,Tom McClintock,(R-inc),223,0,0,234,1203,671,0,0,H8CA04152,C00446815,TRUE,FALSE,FALSE,TRUE
CA,07,Ami Bera,(D-inc),495,0,0,124,2233,1741,0,0,H0CA03078,C00461061,TRUE,FALSE,TRUE,FALSE
CA,07,Andrew Grant,(R),81,0,0,89,372,72,0,0,H8CA07056,C00649400,FALSE,FALSE,FALSE,TRUE
CA,08,Paul Cook,(R-inc),199,0,0,534,749,545,0,0,H2CA08164,C00512202,TRUE,FALSE,FALSE,TRUE
CA,08,Tim Donnelly,(R),35,0,0,48,104,9,0,0,H6CA08207,C00658021,FALSE,FALSE,FALSE,TRUE
CA,10,Josh Harder,(D),1243,0,0,1001,2477,1059,0,2,H8CA10126,C00639146,FALSE,FALSE,TRUE,FALSE
CA,10,Jeff Denham,(R-inc),787,0,0,761,3021,2394,0,163,H0CA19173,C00473272,TRUE,FALSE,FALSE,TRUE
CA,16,Jim Costa,(D-inc),256,0,0,213,1148,1151,0,0,H4CA20082,C00391029,TRUE,FALSE,TRUE,FALSE
CA,16,Elizabeth Heng,(R),191,3,0,184,309,115,3,0,H8CA16065,C00670257,FALSE,FALSE,FALSE,TRUE
CA,21,T.J. Cox,(D),698,0,0,163,1027,951,8,28,H8CA10167,C00648956,FALSE,FALSE,TRUE,FALSE
CA,21,David Valadao,(R-inc),523,0,0,179,1959,1625,0,91,H2CA20094,C00499392,TRUE,FALSE,FALSE,TRUE
CA,22,Andrew Janz,(D),1457,0,0,943,2848,1124,0,0,H8CA22139,C00638510,FALSE,FALSE,TRUE,FALSE
CA,22,Devin Nunes,(R-inc),4827,0,0,3094,3612,6109,0,8,H8CA20059,C00370056,TRUE,FALSE,FALSE,TRUE
CA,24,Salud Carbajal,(D-inc),320,0,0,207,2212,1564,0,0,H6CA24303,C00576041,TRUE,FALSE,TRUE,FALSE
CA,24,Justin Fareed,(R),225,0,0,297,755,246,0,0,H4CA24142,C00572560,FALSE,FALSE,FALSE,TRUE
CA,25,Katie Hill,(D),1316,1,0,985,2383,853,11,11,H8CA25074,C00634212,FALSE,FALSE,TRUE,FALSE
CA,25,Steve Knight,(R-inc),443,0,0,180,1468,1301,0,84,H4CA25123,C00554014,TRUE,FALSE,FALSE,TRUE
CA,31,Pete Aguilar,(D-inc),347,0,0,237,2066,2057,0,0,H2CA31125,C00510461,TRUE,FALSE,TRUE,FALSE
CA,31,Sean Masaki Flynn,(R),89,11,150,141,249,305,92,0,H6CA31134,C00602722,FALSE,FALSE,FALSE,TRUE
CA,36,Raul Ruiz,(D-inc),430,0,0,244,2573,2443,0,0,H2CA36439,C00502575,TRUE,FALSE,TRUE,FALSE
CA,36,Kimberlin Pelzer,(R),212,0,0,244,477,142,0,0,H8CA36170,C00657676,FALSE,FALSE,FALSE,TRUE
CA,39,Gil Cisneros,(D),495,0,2500,3255,814,760,53,33,H8CA39174,C00650648,FALSE,FALSE,TRUE,FALSE
CA,39,Young Kim,(R),672,0,0,833,1279,305,0,0,H8CA39240,C00665638,FALSE,FALSE,FALSE,TRUE
